,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
236,凱基信義,1.5,0.05,1.45,107.5,107.0,合　　庫,9.4,13.11,-3.71,107.96,107.0
237,元富基隆,3.22,1.82,1.4,107.0,106.78,元大永和,10.03,13.7,-3.67,107.3,107.51
238,兆豐中壢,2.4,1.0,1.4,107.83,107.0,富邦桃園,6.5,10.15,-3.65,107.0,107.0
239,安泰,4.39,3.0,1.39,107.04,107.33,元大永寧,4.6,8.04,-3.45,107.11,107.19
240,美好蘆洲,8.3,7.0,1.3,107.01,107.0,元大崇德,3.0,6.34,-3.34,107.67,107.38
241,第一路竹,2.28,1.0,1.27,107.66,107.0,元大站前,2.2,5.46,-3.26,107.93,107.28
242,元大府城,3.32,2.05,1.26,107.75,107.0,永豐板盛,2.75,6.0,-3.25,107.14,107.0
243,群益高雄,6.25,5.0,1.25,107.88,107.1,凱基東門,0.0,3.2,-3.2,,107.02
244,永豐大園,11.25,10.0,1.25,107.05,107.0,光和,5.0,8.15,-3.15,107.3,107.12
245,元大六合,259.22,258.0,1.22,107.03,107.17,元大向上,0.05,3.2,-3.15,107.0,107.16
246,凱基員林,1.2,0.0,1.2,107.08,,群益,1.02,4.07,-3.05,107.0,107.13
247,陽信石牌,3.2,2.0,1.2,107.03,107.5,第一澎湖,2.0,5.01,-3.01,107.0,107.1
248,元富世貿,4.2,3.0,1.2,107.26,107.0,日盛中山,0.0,3.0,-3.0,,107.33
249,元大木柵,1.2,0.02,1.18,107.42,107.5,日盛中壢,0.0,3.0,-3.0,,107.17
250,元大南京,8.15,7.0,1.15,107.12,107.07,光和嘉義,2.0,5.0,-3.0,108.0,107.5
